id,municipality,field_question_ar,field_question_en,field_question_he,field_answer_ar,field_answer_en,field_answer_he,field_topics,field_profile_types
1,1,وقت ما يسلب القمامة؟,,באילו שעות מפנים את הזבל?,التخلص من النفايات يحدث أيام الاثنين والأربعاء والجمعة 5-7 في الصباح.,,"פינוי האשפה מתבצע בימים זוגיים, בשעות 5 עד 7 בבוקר.",Garbage collection,Residents|Businesses
2,1,كيف مفيدة لرياض الأطفال؟,,כמה סייעות יש בגן ילדים?,إجابة,,"בכל גן של עד 30 ילדים, גננת אחת ושתי סייעות",Kindergarten,Residents
3,1,ورياض الأطفال معفاة من ضريبة الأملاك؟,,האם גני ילדים זכאים לפטור מארנונה?,لا يحق رياض الأطفال إلى الإعفاء الكامل من ضريبة الأملاك. يحق الجينات التي ترعرعت أكثر من 12 طفلا على خصم بنسبة 10٪، ويمكن الاتصال بإدارة المجموعات لترتيب الخصم.,,"גני ילדים אינם זכאים לפטור מלא מארנונה. גנים בהם מתחנכים יותר מ-12 ילדים זכאים להנחה בשיעור של 10%, ומוזמנים לפנות למחלקת הגבייה כדי להסדיר את ההנחה.",Arnona|Kindergarten,Businesses
4,2,وقت ما يسلب القمامة؟,,באילו שעות מפנים את הזבל?,التخلص من النفايات يحدث أيام الاثنين والأربعاء والجمعة 5-7 في الصباح.,,"פינוי האשפה מתבצע בימים זוגיים, בשעות 5 עד 7 בבוקר.",Garbage collection,Residents|Businesses
5,2,كيف مفيدة لرياض الأطفال؟,,כמה סייעות יש בגן ילדים?,إجابة,,"בכל גן של עד 30 ילדים, גננת אחת ושתי סייעות",Kindergarten,Residents
6,2,ورياض الأطفال معفاة من ضريبة الأملاك؟,,האם גני ילדים זכאים לפטור מארנונה?,لا يحق رياض الأطفال إلى الإعفاء الكامل من ضريبة الأملاك. يحق الجينات التي ترعرعت أكثر من 12 طفلا على خصم بنسبة 10٪، ويمكن الاتصال بإدارة المجموعات لترتيب الخصم.,,"גני ילדים אינם זכאים לפטור מלא מארנונה. גנים בהם מתחנכים יותר מ-12 ילדים זכאים להנחה בשיעור של 10%, ומוזמנים לפנות למחלקת הגבייה כדי להסדיר את ההנחה.",Arnona|Kindergarten,Businesses
7,3,,,באילו שעות מפנים את הזבל?,,,"פינוי האשפה מתבצע בימים זוגיים, בשעות 5 עד 7 בבוקר.",Garbage collection,Residents|Businesses
8,3,,,כמה סייעות יש בגן ילדים?,,,"בכל גן של עד 30 ילדים, גננת אחת ושתי סייעות",Kindergarten,Residents
9,3,,,האם גני ילדים זכאים לפטור מארנונה?,,,"גני ילדים אינם זכאים לפטור מלא מארנונה. גנים בהם מתחנכים יותר מ-12 ילדים זכאים להנחה בשיעור של 10%, ומוזמנים לפנות למחלקת הגבייה כדי להסדיר את ההנחה.",Arnona|Kindergarten,Businesses
10,4,وقت ما يسلب القمامة؟,,באילו שעות מפנים את הזבל?,التخلص من النفايات يحدث أيام الاثنين والأربعاء والجمعة 5-7 في الصباح.,,"פינוי האשפה מתבצע בימים זוגיים, בשעות 5 עד 7 בבוקר.",Garbage collection,Residents|Businesses
11,4,كيف مفيدة لرياض الأطفال؟,,כמה סייעות יש בגן ילדים?,إجابة,,"בכל גן של עד 30 ילדים, גננת אחת ושתי סייעות",Kindergarten,Residents
12,4,ورياض الأطفال معفاة من ضريبة الأملاك؟,,האם גני ילדים זכאים לפטור מארנונה?,لا يحق رياض الأطفال إلى الإعفاء الكامل من ضريبة الأملاك. يحق الجينات التي ترعرعت أكثر من 12 طفلا على خصم بنسبة 10٪، ويمكن الاتصال بإدارة المجموعات لترتيب الخصم.,,"גני ילדים אינם זכאים לפטור מלא מארנונה. גנים בהם מתחנכים יותר מ-12 ילדים זכאים להנחה בשיעור של 10%, ומוזמנים לפנות למחלקת הגבייה כדי להסדיר את ההנחה.",Arnona|Kindergarten,Businesses
